molecule_id,preferred_name,descriptor_name,descriptor_value,unit,software,software_version,calculation_date,config_hash,notes
12,catechol,NPR1,0.40451637663096124,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
12,catechol,NPR2,0.5954836233695758,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
13,cyclohexane,RadiusOfGyration,1.6135971248439906,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
13,cyclohexane,Asphericity,0.16121849285390355,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
13,cyclohexane,Eccentricity,0.8214601428111294,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
13,cyclohexane,InertialShapeFactor,0.004884119959729295,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
13,cyclohexane,SpherocityIndex,0.4383599782429309,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
13,cyclohexane,PMI1,116.75938769860583,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
13,cyclohexane,PMI2,116.75957676925395,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
13,cyclohexane,PMI3,204.745507392088,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
13,cyclohexane,NPR1,0.5702659325023011,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
13,cyclohexane,NPR2,0.570266855944532,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
14,gamma-valerolactone,RadiusOfGyration,1.7650073960496633,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
14,gamma-valerolactone,Asphericity,0.35214352253172326,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
14,gamma-valerolactone,Eccentricity,0.9529732934345669,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
14,gamma-valerolactone,InertialShapeFactor,0.008443666546573187,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
14,gamma-valerolactone,SpherocityIndex,0.3490644563857563,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
14,gamma-valerolactone,PMI1,91.18970062386666,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
14,gamma-valerolactone,PMI2,231.6872950883127,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
14,gamma-valerolactone,PMI3,300.90219466912055,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
14,gamma-valerolactone,NPR1,0.3030542888666568,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
14,gamma-valerolactone,NPR2,0.769975424549767,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
15,"2,5-dimethylfuran",RadiusOfGyration,1.8051432159980734,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
15,"2,5-dimethylfuran",Asphericity,0.40732051139013314,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
15,"2,5-dimethylfuran",Eccentricity,0.963381168943551,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
15,"2,5-dimethylfuran",InertialShapeFactor,0.009049482310906567,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
15,"2,5-dimethylfuran",SpherocityIndex,0.10591199239495308,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
15,"2,5-dimethylfuran",PMI1,83.13879439647722,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
15,"2,5-dimethylfuran",PMI2,233.27952987381727,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
15,"2,5-dimethylfuran",PMI3,310.06244938417547,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
15,"2,5-dimethylfuran",NPR1,0.268135643518271,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
15,"2,5-dimethylfuran",NPR2,0.7523630492410187,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
171,2-methylheptane,RadiusOfGyration,2.744826591354806,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
171,2-methylheptane,Asphericity,0.7179973983021141,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
171,2-methylheptane,Eccentricity,0.9944622651295275,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
171,2-methylheptane,InertialShapeFactor,0.010618094147340131,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
171,2-methylheptane,SpherocityIndex,0.17499904510854142,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
171,2-methylheptane,PMI1,88.47674544481085,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
171,2-methylheptane,PMI2,790.9077993495852,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
171,2-methylheptane,PMI3,841.879912872034,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
171,2-methylheptane,NPR1,0.1050942588034635,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
171,2-methylheptane,NPR2,0.9394544129832486,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
172,ethylcyclohexane,RadiusOfGyration,2.1131956737029176,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
